task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
415	00/d4405c	163821	SUSIE_FINE_MAPPING (414)	COMPLETED	0	2022-01-12 15:19:20.396	37.2s	23.3s	67.0%	566.9 MB	852 MB	38.8 MB	6.3 KB
424	59/d1ad45	163831	SUSIE_FINE_MAPPING (423)	COMPLETED	0	2022-01-12 15:19:27.108	30.7s	14.8s	44.1%	679.1 MB	999.9 MB	39 MB	6.3 KB
425	b8/fbad07	163832	SUSIE_FINE_MAPPING (424)	COMPLETED	0	2022-01-12 15:19:27.350	30.5s	14.1s	45.7%	594.3 MB	915.7 MB	45.2 MB	6.3 KB
412	9f/94cf9a	163819	SUSIE_FINE_MAPPING (411)	COMPLETED	0	2022-01-12 15:19:18.588	43.1s	31.6s	73.7%	718.2 MB	1 GB	52.5 MB	6.3 KB
426	01/f15292	163833	SUSIE_FINE_MAPPING (425)	COMPLETED	0	2022-01-12 15:19:28.097	33.6s	25.7s	65.2%	656.8 MB	978.2 MB	49.4 MB	6.3 KB
402	c0/4dd952	163813	SUSIE_FINE_MAPPING (401)	COMPLETED	0	2022-01-12 15:19:13.597	53.3s	37.3s	78.5%	1.2 GB	1.5 GB	52.4 MB	9.6 KB
407	53/688194	163815	SUSIE_FINE_MAPPING (406)	COMPLETED	0	2022-01-12 15:19:14.023	53s	39.3s	80.4%	859.5 MB	1.2 GB	51.8 MB	10.4 KB
409	5f/07f532	163818	SUSIE_FINE_MAPPING (408)	COMPLETED	0	2022-01-12 15:19:18.308	48.7s	32.4s	39.9%	708.6 MB	1004 MB	48.7 MB	6.4 KB
413	1d/8518ab	163820	SUSIE_FINE_MAPPING (412)	COMPLETED	0	2022-01-12 15:19:20.036	47.1s	31.9s	69.5%	791.6 MB	1.1 GB	41.1 MB	6.3 KB
421	59/987f0e	163829	SUSIE_FINE_MAPPING (420)	COMPLETED	0	2022-01-12 15:19:26.078	41.3s	30.6s	70.4%	1.1 GB	1.3 GB	56 MB	6.5 KB
427	a5/413e79	163834	SUSIE_FINE_MAPPING (426)	COMPLETED	0	2022-01-12 15:19:28.350	39.2s	28.2s	69.8%	576.1 MB	901.1 MB	49.9 MB	6.3 KB
430	84/07340f	163836	SUSIE_FINE_MAPPING (429)	COMPLETED	0	2022-01-12 15:19:29.145	38.5s	24.7s	44.9%	776.6 MB	1 GB	46.3 MB	6.3 KB
431	e6/1ff1b5	163838	SUSIE_FINE_MAPPING (430)	COMPLETED	0	2022-01-12 15:19:31.046	36.7s	20.3s	61.2%	1.1 GB	1.3 GB	56 MB	17.4 KB
440	0e/23119b	163846	SUSIE_FINE_MAPPING (439)	COMPLETED	0	2022-01-12 15:19:36.567	31.3s	16.8s	39.6%	378.2 MB	569.7 MB	37.6 MB	6.6 KB
438	c8/58eab3	163847	SUSIE_FINE_MAPPING (437)	COMPLETED	0	2022-01-12 15:19:36.814	31.2s	15.3s	53.1%	613.3 MB	938.9 MB	41.7 MB	6.5 KB
441	0b/df820f	163848	SUSIE_FINE_MAPPING (440)	COMPLETED	0	2022-01-12 15:19:37.515	30.6s	18.2s	48.1%	547.6 MB	868 MB	37.3 MB	6.3 KB
444	14/2d3154	163851	SUSIE_FINE_MAPPING (443)	COMPLETED	0	2022-01-12 15:19:38.536	29.7s	15s	47.7%	570.5 MB	898.7 MB	37.4 MB	8.7 KB
446	4d/b0bad7	163852	SUSIE_FINE_MAPPING (445)	COMPLETED	0	2022-01-12 15:19:40.246	28s	15.4s	45.9%	463.6 MB	803.5 MB	33.8 MB	6.3 KB
445	1f/30b5c3	163853	SUSIE_FINE_MAPPING (444)	COMPLETED	0	2022-01-12 15:19:40.652	27.7s	12.6s	42.4%	511.6 MB	833.9 MB	38.1 MB	6.3 KB
448	f3/468a54	163855	SUSIE_FINE_MAPPING (447)	COMPLETED	0	2022-01-12 15:19:41.879	26.5s	12.8s	61.0%	838.3 MB	1.1 GB	45.4 MB	6.3 KB
450	6c/b67664	163858	SUSIE_FINE_MAPPING (449)	COMPLETED	0	2022-01-12 15:19:45.893	22.6s	12.7s	64.6%	865.7 MB	1.2 GB	46.5 MB	6.1 KB
453	9c/2affbd	163863	SUSIE_FINE_MAPPING (452)	COMPLETED	0	2022-01-12 15:19:47.234	21.3s	10.5s	59.3%	630.6 MB	949.6 MB	37.5 MB	6.3 KB
160	36/e29d73	163482	SUSIE_FINE_MAPPING (159)	COMPLETED	0	2022-01-12 15:15:32.401	4m 39s	4m 24s	87.2%	1.1 GB	1.5 GB	49.6 MB	18.7 KB
351	db/7eaeaf	163756	SUSIE_FINE_MAPPING (350)	COMPLETED	0	2022-01-12 15:18:26.377	1m 45s	1m 21s	83.3%	751.4 MB	1 GB	51.6 MB	6.6 KB
422	0c/0a7e59	163828	SUSIE_FINE_MAPPING (421)	COMPLETED	0	2022-01-12 15:19:25.903	46s	37.7s	72.3%	1.3 GB	1.6 GB	54.4 MB	6.4 KB
428	b8/04d634	163835	SUSIE_FINE_MAPPING (427)	COMPLETED	0	2022-01-12 15:19:28.835	43.2s	33.2s	69.3%	807.2 MB	1.1 GB	56.6 MB	6.3 KB
429	d9/ba0068	163837	SUSIE_FINE_MAPPING (428)	COMPLETED	0	2022-01-12 15:19:30.822	41.4s	34.1s	69.6%	828.3 MB	1.1 GB	57.7 MB	6.1 KB
434	b6/b80c63	163841	SUSIE_FINE_MAPPING (433)	COMPLETED	0	2022-01-12 15:19:33.299	39s	20.1s	49.0%	397.2 MB	596 MB	57.6 MB	6.3 KB
439	3b/2be765	163845	SUSIE_FINE_MAPPING (438)	COMPLETED	0	2022-01-12 15:19:35.795	36.6s	21.7s	53.3%	527.5 MB	847.1 MB	37.8 MB	6.3 KB
443	ce/1a62e4	163849	SUSIE_FINE_MAPPING (442)	COMPLETED	0	2022-01-12 15:19:37.843	34.7s	19.3s	50.1%	697.3 MB	1021.8 MB	38.4 MB	7.3 KB
447	b4/2f8e7c	163854	SUSIE_FINE_MAPPING (446)	COMPLETED	0	2022-01-12 15:19:41.570	31.2s	17.2s	67.5%	1.2 GB	1.5 GB	69.3 MB	6.3 KB
452	37/a6844d	163861	SUSIE_FINE_MAPPING (451)	COMPLETED	0	2022-01-12 15:19:46.855	26s	16.8s	68.2%	845.5 MB	1.1 GB	46 MB	6.7 KB
410	04/ece9ff	163816	SUSIE_FINE_MAPPING (409)	COMPLETED	0	2022-01-12 15:19:17.410	59.5s	39.3s	68.9%	632.5 MB	919 MB	47 MB	6.3 KB
411	81/ac165d	163817	SUSIE_FINE_MAPPING (410)	COMPLETED	0	2022-01-12 15:19:17.814	59.4s	43.5s	74.0%	1 GB	1.3 GB	41.1 MB	10.2 KB
449	a2/133e04	163856	SUSIE_FINE_MAPPING (448)	COMPLETED	0	2022-01-12 15:19:42.586	34.8s	18s	63.4%	872.6 MB	1.2 GB	46 MB	6.3 KB
451	62/b24e69	163857	SUSIE_FINE_MAPPING (450)	COMPLETED	0	2022-01-12 15:19:43.493	34s	18.6s	65.0%	753.2 MB	1016.6 MB	49 MB	6.3 KB
418	6a/56666f	163825	SUSIE_FINE_MAPPING (417)	COMPLETED	0	2022-01-12 15:19:23.117	58.6s	41.6s	69.5%	521.2 MB	842 MB	31.6 MB	6.6 KB
423	75/c786c1	163830	SUSIE_FINE_MAPPING (422)	COMPLETED	0	2022-01-12 15:19:26.288	55.5s	43s	68.5%	722.2 MB	914.2 MB	47 MB	6.3 KB
432	f0/a2a89e	163839	SUSIE_FINE_MAPPING (431)	COMPLETED	0	2022-01-12 15:19:32.889	49.1s	33.5s	74.7%	1.1 GB	1.4 GB	52.7 MB	7.8 KB
461	e9/4cdce8	163880	SUSIE_FINE_MAPPING (460)	COMPLETED	0	2022-01-12 15:19:52.807	29.3s	14.7s	50.8%	664.6 MB	897.6 MB	40.6 MB	6.3 KB
469	d3/51c73e	163893	SUSIE_FINE_MAPPING (468)	COMPLETED	0	2022-01-12 15:19:59.163	23s	8s	67.5%	549.6 MB	870.2 MB	32.8 MB	6.1 KB
